================================================================================
WORD                      GOLD       PREDICTED  STATUS    
as                        IN         IN         ✓         
to                        TO         TO         ✓         
how                       WRB        WRB        ✓         
much                      JJ         JJ         ✓         
manufacturing             VBG        NN         ✗ VBG->NN 
strength                  NN         NN         ✓         
they                      PRP        PRP        ✓         
expect                    VBP        VBP        ✓         
to                        TO         TO         ✓         
see                       VB         VB         ✓         
in                        IN         IN         ✓         
September                 NNP        NNP        ✓         
reports                   NNS        NNS        ✓         
on                        IN         IN         ✓         
industrial                JJ         JJ         ✓         
production                NN         NN         ✓         
and                       CC         CC         ✓         
capacity                  NN         NN         ✓         
utilization               NN         NN         ✓         
,                         ,          ,          ✓         
also                      RB         RB         ✓         
due                       JJ         JJ         ✓         
tomorrow                  NN         NN         ✓         
.                         .          .          ✓         

Meanwhile                 RB         RB         ✓         
,                         ,          ,          ✓         
September                 NNP        NNP        ✓         
housing                   NN         NN         ✓         
starts                    NNS        NNS        ✓         
,                         ,          ,          ✓         
due                       JJ         JJ         ✓         
Wednesday                 NNP        NNP        ✓         
,                         ,          ,          ✓         
are                       VBP        VBP        ✓         
thought                   VBN        VBN        ✓         
to                        TO         TO         ✓         
have                      VB         VB         ✓         
inched                    VBN        VBD        ✗ VBN->VBD
upward                    RB         RB         ✓         
.                         .          .          ✓         

``                        ``         ``         ✓         
There                     EX         EX         ✓         
's                        VBZ        VBZ        ✓         
a                         DT         DT         ✓         
possibility               NN         NN         ✓         
of                        IN         IN         ✓         
a                         DT         DT         ✓         
surprise                  NN         NN         ✓         
''                        ''         ''         ✓         
in                        IN         IN         ✓         
the                       DT         DT         ✓         
trade                     NN         NN         ✓         
report                    NN         NN         ✓         
,                         ,          ,          ✓         
said                      VBD        VBD        ✓         
Michael                   NNP        NNP        ✓         
Englund                   NNP        NNP        ✓         
,                         ,          ,          ✓         
director                  NN         NN         ✓         
of                        IN         IN         ✓         
research                  NN         NN         ✓         
at                        IN         IN         ✓         
MMS                       NNP        NNP        ✓         
.                         .          .          ✓         

A                         DT         DT         ✓         
widening                  NN         NN         ✓         
of                        IN         IN         ✓         
the                       DT         DT         ✓         
deficit                   NN         NN         ✓         
,                         ,          ,          ✓         
if                        IN         IN         ✓         
it                        PRP        PRP        ✓         
were                      VBD        VBD        ✓         
combined                  VBN        VBN        ✓         
with                      IN         IN         ✓         
a                         DT         DT         ✓         
stubbornly                RB         RB         ✓         
strong                    JJ         JJ         ✓         
dollar                    NN         NN         ✓         
,                         ,          ,          ✓         
would                     MD         MD         ✓         
exacerbate                VB         VB         ✓         
trade                     NN         NN         ✓         
problems                  NNS        NNS        ✓         
--                        :          :          ✓         
but                       CC         CC         ✓         
the                       DT         DT         ✓         
dollar                    NN         NN         ✓         
weakened                  VBD        VBD        ✓         
Friday                    NNP        NNP        ✓         
as                        IN         IN         ✓         
stocks                    NNS        NNS        ✓         
plummeted                 VBD        VBD        ✓         
.                         .          .          ✓         

In                        IN         IN         ✓         
any                       DT         DT         ✓         
event                     NN         NN         ✓         
,                         ,          ,          ✓         
Mr.                       NNP        NNP        ✓         
Englund                   NNP        NNP        ✓         
and                       CC         CC         ✓         
many                      JJ         JJ         ✓         
others                    NNS        NNS        ✓         
say                       VBP        VBP        ✓         
that                      IN         IN         ✓         
the                       DT         DT         ✓         
easy                      JJ         JJ         ✓         
gains                     NNS        NNS        ✓         
in                        IN         IN         ✓         
narrowing                 VBG        VBG        ✓         
the                       DT         DT         ✓         
trade                     NN         NN         ✓         
gap                       NN         NN         ✓         
have                      VBP        VBP        ✓         
already                   RB         RB         ✓         
been                      VBN        VBN        ✓         
made                      VBN        VBN        ✓         
.                         .          .          ✓         

``                        ``         ``         ✓         
Trade                     NN         NNP        ✗ NN->NNP 
is                        VBZ        VBZ        ✓         
definitely                RB         RB         ✓         
going                     VBG        VBG        ✓         
to                        TO         TO         ✓         
be                        VB         VB         ✓         
more                      RBR        RBR        ✓         
politically               RB         RB         ✓         
sensitive                 JJ         JJ         ✓         
over                      IN         IN         ✓         
the                       DT         DT         ✓         
next                      JJ         JJ         ✓         
six                       CD         CD         ✓         
or                        CC         CC         ✓         
seven                     CD         CD         ✓         
months                    NNS        NNS        ✓         
as                        IN         IN         ✓         
improvement               NN         NN         ✓         
begins                    VBZ        VBZ        ✓         
to                        TO         TO         ✓         
slow                      VB         VB         ✓         
,                         ,          ,          ✓         
''                        ''         ''         ✓         
he                        PRP        PRP        ✓         
said                      VBD        VBD        ✓         
.                         .          .          ✓         

Exports                   NNS        NNS        ✓         
are                       VBP        VBP        ✓         
thought                   VBN        VBN        ✓         
to                        TO         TO         ✓         
have                      VB         VB         ✓         
risen                     VBN        VBN        ✓         
strongly                  RB         RB         ✓         
in                        IN         IN         ✓         
August                    NNP        NNP        ✓         
,                         ,          ,          ✓         
but                       CC         CC         ✓         
probably                  RB         RB         ✓         
not                       RB         RB         ✓         
enough                    RB         JJ         ✗ RB->JJ  
to                        TO         TO         ✓         
offset                    VB         VB         ✓         
the                       DT         DT         ✓         
jump                      NN         NN         ✓         
in                        IN         IN         ✓         
imports                   NNS        NNS        ✓         
,                         ,          ,          ✓         
economists                NNS        NNS        ✓         
said                      VBD        VBD        ✓         
.                         .          .          ✓         

Views                     NNS        NNS        ✓         
on                        IN         IN         ✓         
manufacturing             VBG        NN         ✗ VBG->NN 
strength                  NN         NN         ✓         
are                       VBP        VBP        ✓         
split                     VBN        VBN        ✓         
between                   IN         IN         ✓         
economists                NNS        NNS        ✓         
who                       WP         WP         ✓         
read                      VBP        VBP        ✓         
September                 NNP        NNP        ✓         
's                        POS        POS        ✓         
low                       JJ         JJ         ✓         
level                     NN         NN         ✓         
of                        IN         IN         ✓         
factory                   NN         NN         ✓         
job                       NN         NN         ✓         
growth                    NN         NN         ✓         
as                        IN         IN         ✓         
a                         DT         DT         ✓         
sign                      NN         NN         ✓         
of                        IN         IN         ✓         
a                         DT         DT         ✓         
slowdown                  NN         NN         ✓         
and                       CC         CC         ✓         
those                     DT         DT         ✓         
who                       WP         WP         ✓         
use                       VBP        VBP        ✓         
the                       DT         DT         ✓         
somewhat                  RB         RB         ✓         
more                      JJR        RBR        ✗ JJR->RBR
comforting                VBG        JJ         ✗ VBG->JJ 
total                     JJ         JJ         ✓         
employment                NN         NN         ✓         
figures                   NNS        NNS        ✓         
in                        IN         IN         ✓         
their                     PRP$       PRP$       ✓         
calculations              NNS        NNS        ✓         
.                         .          .          ✓         

The                       DT         DT         ✓         
wide                      JJ         JJ         ✓         
range                     NN         NN         ✓         
of                        IN         IN         ✓         
estimates                 NNS        NNS        ✓         
for                       IN         IN         ✓         
the                       DT         DT         ✓         
industrial                JJ         JJ         ✓         
output                    NN         NN         ✓         
number                    NN         NN         ✓         
underscores               VBZ        VBZ        ✓         
the                       DT         DT         ✓         
differences               NNS        NNS        ✓         
:                         :          :          ✓         
The                       DT         DT         ✓         
forecasts                 NNS        NNS        ✓         
run                       VBD        VBN        ✗ VBD->VBN
from                      IN         IN         ✓         
a                         DT         DT         ✓         
drop                      NN         NN         ✓         
of                        IN         IN         ✓         
0.5                       CD         CD         ✓         
%                         NN         NN         ✓         
to                        TO         TO         ✓         
an                        DT         DT         ✓         
increase                  NN         NN         ✓         
of                        IN         IN         ✓         
0.4                       CD         CD         ✓         
%                         NN         NN         ✓         
,                         ,          ,          ✓         
according                 VBG        VBG        ✓         
to                        TO         TO         ✓         
MMS                       NNP        NNP        ✓         
.                         .          .          ✓         

A                         DT         DT         ✓         
rebound                   NN         NN         ✓         
in                        IN         IN         ✓         
energy                    NN         NN         ✓         
prices                    NNS        NNS        ✓         
,                         ,          ,          ✓         
which                     WDT        WDT        ✓         
helped                    VBD        VBD        ✓         
push                      VB         VB         ✓         
up                        RP         RP         ✓         
the                       DT         DT         ✓         
producer                  NN         NN         ✓         
price                     NN         NN         ✓         
index                     NN         NN         ✓         
,                         ,          ,          ✓         
is                        VBZ        VBZ        ✓         
expected                  VBN        VBN        ✓         
to                        TO         TO         ✓         
do                        VB         VB         ✓         
the                       DT         DT         ✓         
same                      JJ         JJ         ✓         
in                        IN         IN         ✓         
the                       DT         DT         ✓         
consumer                  NN         NN         ✓         
price                     NN         NN         ✓         
report                    NN         NN         ✓         
.                         .          .          ✓         

The                       DT         DT         ✓         
consensus                 NN         NN         ✓         
view                      NN         NN         ✓         
expects                   VBZ        VBZ        ✓         
a                         DT         DT         ✓         
0.4                       CD         CD         ✓         
%                         NN         NN         ✓         
increase                  NN         NN         ✓         
in                        IN         IN         ✓         
the                       DT         DT         ✓         
September                 NNP        NNP        ✓         
CPI                       NNP        NNP        ✓         
after                     IN         IN         ✓         
a                         DT         DT         ✓         
flat                      JJ         JJ         ✓         
reading                   NN         NN         ✓         
in                        IN         IN         ✓         
August                    NNP        NNP        ✓         
.                         .          .          ✓         

Robert                    NNP        NNP        ✓         
H.                        NNP        NNP        ✓         
Chandross                 NNP        NNP        ✓         
,                         ,          ,          ✓         
an                        DT         DT         ✓         
economist                 NN         NN         ✓         
for                       IN         IN         ✓         
Lloyd                     NNP        NNP        ✓         
's                        POS        POS        ✓         
Bank                      NNP        NNP        ✓         
in                        IN         IN         ✓         
New                       NNP        NNP        ✓         
York                      NNP        NNP        ✓         
,                         ,          ,          ✓         
is                        VBZ        VBZ        ✓         
among                     IN         IN         ✓         
those                     DT         DT         ✓         
expecting                 VBG        VBG        ✓         
a                         DT         DT         ✓         
more                      RBR        RBR        ✓         
moderate                  JJ         JJ         ✓         
gain                      NN         NN         ✓         
in                        IN         IN         ✓         
the                       DT         DT         ✓         
CPI                       NNP        NNP        ✓         
than                      IN         IN         ✓         
in                        IN         IN         ✓         
prices                    NNS        NNS        ✓         
at                        IN         IN         ✓         
the                       DT         DT         ✓         
producer                  NN         NN         ✓         
level                     NN         NN         ✓         
.                         .          .          ✓         

``                        ``         ``         ✓         
Auto                      NN         NN         ✓         
prices                    NNS        NNS        ✓         
had                       VBD        VBD        ✓         
a                         DT         DT         ✓         
big                       JJ         JJ         ✓         
effect                    NN         NN         ✓         
in                        IN         IN         ✓         
the                       DT         DT         ✓         
PPI                       NNP        NNP        ✓         
,                         ,          ,          ✓         
and                       CC         CC         ✓         
at                        IN         IN         ✓         
the                       DT         DT         ✓         
CPI                       NNP        NNP        ✓         
level                     NN         NN         ✓         
they                      PRP        PRP        ✓         
wo                        MD         MD         ✓         
n't                       RB         RB         ✓         
,                         ,          ,          ✓         
''                        ''         ''         ✓         
he                        PRP        PRP        ✓         
said                      VBD        VBD        ✓         
.                         .          .          ✓         

Food                      NN         NN         ✓         
prices                    NNS        NNS        ✓         
are                       VBP        VBP        ✓         
expected                  VBN        VBN        ✓         
to                        TO         TO         ✓         
be                        VB         VB         ✓         
unchanged                 JJ         JJ         ✓         
,                         ,          ,          ✓         
but                       CC         CC         ✓         
energy                    NN         NN         ✓         
costs                     NNS        NNS        ✓         
jumped                    VBD        VBD        ✓         
as                        RB         RB         ✓         
much                      RB         RB         ✓         
as                        IN         IN         ✓         
4                         CD         CD         ✓         
%                         NN         NN         ✓         
,                         ,          ,          ✓         
said                      VBD        VBD        ✓         
Gary                      NNP        NNP        ✓         
Ciminero                  NNP        NNP        ✓         
,                         ,          ,          ✓         
economist                 NN         NN         ✓         
at                        IN         IN         ✓         
Fleet\/Norstar            NNP        NNP        ✓         
Financial                 NNP        NNP        ✓         
Group                     NNP        NNP        ✓         
.                         .          .          ✓         

He                        PRP        PRP        ✓         
also                      RB         RB         ✓         
says                      VBZ        VBZ        ✓         
he                        PRP        PRP        ✓         
thinks                    VBZ        VBZ        ✓         
``                        ``         ``         ✓         
core                      NN         JJ         ✗ NN->JJ  
inflation                 NN         NN         ✓         
,                         ,          ,          ✓         
''                        ''         ''         ✓         
which                     WDT        WDT        ✓         
excludes                  VBZ        VBZ        ✓         
the                       DT         DT         ✓         
volatile                  JJ         JJ         ✓         
food                      NN         NN         ✓         
and                       CC         CC         ✓         
energy                    NN         NN         ✓         
prices                    NNS        NNS        ✓         
,                         ,          ,          ✓         
was                       VBD        VBD        ✓         
strong                    JJ         JJ         ✓         
last                      JJ         JJ         ✓         
month                     NN         NN         ✓         
.                         .          .          ✓         

He                        PRP        PRP        ✓         
expects                   VBZ        VBZ        ✓         
a                         DT         DT         ✓         
gain                      NN         NN         ✓         
of                        IN         IN         ✓         
as                        RB         RB         ✓         
much                      JJ         JJ         ✓         
as                        IN         IN         ✓         
0.5                       CD         CD         ✓         
%                         NN         NN         ✓         
in                        IN         IN         ✓         
core                      NN         NN         ✓         
inflation                 NN         NN         ✓         
after                     IN         IN         ✓         
a                         DT         DT         ✓         
summer                    NN         NN         ✓         
of                        IN         IN         ✓         
far                       JJ         RB         ✗ JJ->RB  
smaller                   JJR        JJR        ✓         
increases                 NNS        NNS        ✓         
.                         .          .          ✓         

Housing                   NN         NN         ✓         
starts                    NNS        NNS        ✓         
are                       VBP        VBP        ✓         
expected                  VBN        VBN        ✓         
to                        TO         TO         ✓         
quicken                   VB         VB         ✓         
a                         DT         DT         ✓         
bit                       NN         NN         ✓         
from                      IN         IN         ✓         
August                    NNP        NNP        ✓         
's                        POS        POS        ✓         
annual                    JJ         JJ         ✓         
pace                      NN         NN         ✓         
of                        IN         IN         ✓         
1,350,000                 CD         CD         ✓         
units                     NNS        NNS        ✓         
.                         .          .          ✓         

Economists                NNS        NNS        ✓         
say                       VBP        VBP        ✓         
an                        DT         DT         ✓         
August                    NNP        NNP        ✓         
rebound                   NN         NN         ✓         
in                        IN         IN         ✓         
permits                   NNS        NNS        ✓         
for                       IN         IN         ✓         
multifamily               RB         JJ         ✗ RB->JJ  
units                     NNS        NNS        ✓         
signaled                  VBD        VBD        ✓         
an                        DT         DT         ✓         
increase                  NN         NN         ✓         
in                        IN         IN         ✓         
September                 NNP        NNP        ✓         
starts                    NNS        VBZ        ✗ NNS->VBZ
,                         ,          ,          ✓         
though                    IN         IN         ✓         
activity                  NN         NN         ✓         
remains                   VBZ        VBZ        ✓         
fairly                    RB         RB         ✓         
modest                    JJ         JJ         ✓         
by                        IN         IN         ✓         
historical                JJ         JJ         ✓         
standards                 NNS        NNS        ✓         
.                         .          .          ✓         

Two-Way                   NNP        NNP        ✓         
Street                    NNP        NNP        ✓         

If                        IN         IN         ✓         
the                       DT         DT         ✓         
sixty-day                 JJ         JJ         ✓         
plant-closing             JJ         JJ         ✓         
law                       NN         NN         ✓         
's                        VBZ        POS        ✗ VBZ->POS
fair                      JJ         JJ         ✓         
,                         ,          ,          ✓         
Why                       WRB        WRB        ✓         
should                    MD         MD         ✓         
we                        PRP        PRP        ✓         
not                       RB         RB         ✓         
then                      RB         RB         ✓         
amend                     VB         VB         ✓         
the                       DT         DT         ✓         
writ                      NN         NN         ✓         
To                        TO         TO         ✓         
require                   VB         VB         ✓         
that                      IN         IN         ✓         
all                       DT         DT         ✓         
employees                 NNS        NNS        ✓         
give                      VBP        VBP        ✓         
Similar                   JJ         JJ         ✓         
notice                    NN         NN         ✓         
before                    IN         IN         ✓         
they                      PRP        PRP        ✓         
quit                      VBP        VBD        ✗ VBP->VBD
?                         .          .          ✓         

--                        :          :          ✓         
Rollin                    NNP        NNP        ✓         
S.                        NNP        NNP        ✓         
Trexler                   NNP        NNP        ✓         
.                         .          .          ✓         

Candid                    NNP        JJ         ✗ NNP->JJ 
Comment                   NNP        NN         ✗ NNP->NN 

When                      WRB        WRB        ✓         
research                  NN         NN         ✓         
projects                  NNS        NNS        ✓         
are                       VBP        VBP        ✓         
curtailed                 VBN        VBN        ✓         
due                       JJ         JJ         ✓         
to                        TO         TO         ✓         
government                NN         NN         ✓         
funding                   NN         NN         ✓         
cuts                      NNS        NNS        ✓         
,                         ,          ,          ✓         
are                       VBP        VBP        ✓         
we                        PRP        PRP        ✓         
``                        ``         ``         ✓         
caught                    VBN        VBN        ✓         
with                      IN         IN         ✓         
our                       PRP$       PRP$       ✓         
grants                    NNS        NNS        ✓         
down                      IN         RB         ✗ IN->RB  
''                        ''         ''         ✓         
?                         .          .          ✓         

--                        :          :          ✓         
C.E.                      NNP        NNP        ✓         
Friedman                  NNP        NNP        ✓         
.                         .          .          ✓         

Assuming                  VBG        VBG        ✓         
the                       DT         DT         ✓         
stock                     NN         NN         ✓         
market                    NN         NN         ✓         
does                      VBZ        VBZ        ✓         
n't                       RB         RB         ✓         
crash                     VB         VB         ✓         
again                     RB         RB         ✓         
and                       CC         CC         ✓         
completely                RB         RB         ✓         
discredit                 VB         VB         ✓         
yuppies                   NNS        NNS        ✓         
and                       CC         CC         ✓         
trading                   NN         NN         ✓         
rooms                     NNS        NNS        ✓         
,                         ,          ,          ✓         
American                  JJ         JJ         ✓         
television                NN         NN         ✓         
audiences                 NNS        NNS        ✓         
in                        IN         IN         ✓         
a                         DT         DT         ✓         
few                       JJ         JJ         ✓         
months                    NNS        NNS        ✓         
may                       MD         MD         ✓         
be                        VB         VB         ✓         
seeing                    VBG        VBG        ✓         
Britain                   NNP        NNP        ✓         
's                        POS        POS        ✓         
concept                   NN         NN         ✓         
of                        IN         IN         ✓         
both                      DT         DT         ✓         
.                         .          .          ✓         

``                        ``         ``         ✓         
Capital                   NNP        NNP        ✓         
City                      NNP        NNP        ✓         
''                        ''         ''         ✓         
is                        VBZ        VBZ        ✓         
a                         DT         DT         ✓         
weekly                    JJ         JJ         ✓         
series                    NN         NN         ✓         
that                      WDT        WDT        ✓         
premiered                 VBD        VBD        ✓         
here                      RB         RB         ✓         
three                     CD         CD         ✓         
weeks                     NNS        NNS        ✓         
ago                       IN         RB         ✗ IN->RB  
amid                      IN         IN         ✓         
unprecedented             JJ         JJ         ✓         
hype                      NN         NN         ✓         
by                        IN         IN         ✓         
its                       PRP$       PRP$       ✓         
producer                  NN         NN         ✓         
,                         ,          ,          ✓         
Thames                    NNP        NNP        ✓         
Television                NNP        NNP        ✓         
.                         .          .          ✓         

The                       DT         DT         ✓         
early                     JJ         JJ         ✓         
episodes                  NNS        NNS        ✓         
make                      VBP        VBP        ✓         
you                       PRP        PRP        ✓         
long                      JJ         JJ         ✓         
for                       IN         IN         ✓         
a                         DT         DT         ✓         
rerun                     NN         NN         ✓         
of                        IN         IN         ✓         
the                       DT         DT         ✓         
crash                     NN         NN         ✓         
of                        IN         IN         ✓         
1987                      CD         CD         ✓         
.                         .          .          ✓         

Let                       VB         VB         ✓         
's                        PRP        POS        ✗ PRP->POS
